?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_3000492>	"processus infrafenestralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterior part of the corpus of the septomaxilla; the posterior surface of the processus infrafenestralis is in contact with the oblique cartilage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000885>	"fast muscle cell somite 6"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010178>	"finger glands"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005038>	"supraintestinal vein"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001784>	"autopalatine-vomer joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates autopalatine and vomer bones. Autopalatine-vomer joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001718>	"caudal principal ray 6"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 5."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000819>	"margo clavicularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Inferior margin of the pars acromialis of the scapula, which articulates with the clavicule."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001544>	"sublingual cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal arch cartilage that is the median cartilage of the ventral hyoid arch, generally lying between the paired ventral hypohyals."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010319>	"obsolete melanocyte"^^<http://www.w3.org/2001/XMLSchema#string>	"A pigment cell derived from the neural crest. Contains melanin-filled pigment granules, which gives a brown to black appearance."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000882>	"interilial region"^^<http://www.w3.org/2001/XMLSchema#string>	"Area of convergence of the ilial shafts. When the preacetabular ilium is narrow, the interilial configuration is V-shaped or narrowly rounded, whereas when the interilial region is broadly expanded the interilial configuration is U-shaped."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002057>	"gill opening"^^<http://www.w3.org/2001/XMLSchema#string>	"Anatomical space that is the external opening of a gill slit connecting the pharyngeal cavity to the exterior. Gill opening is usually paired and located on the lateral or ventral surfaces of the head."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001409>	"infraorbital 4"^^<http://www.w3.org/2001/XMLSchema#string>	"Infraorbital that is the fourth bone of the infraorbital series."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000038>	"basimandibulare"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000582>	"sulcus dentalis of premaxilla"^^<http://www.w3.org/2001/XMLSchema#string>	"Groove located between the pars dentalis and the bases of the premaxillary teeth."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000380>	"palatoquadrate articular process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001801>	"quadrate-hyomandibula joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates quadrate and hyomandibula bones. Quadrate-hyomandibula joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000070>	"obsolete sensory axons peripheral"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000783>	"fovea capitis of humerus"^^<http://www.w3.org/2001/XMLSchema#string>	"Ovoid roughened pit, which is situated a little below and behind the center of the head, and serves as a site of attachment for ligaments."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010449>	"dorsal marginal zone"^^<http://www.w3.org/2001/XMLSchema#string>	"Marginal zone that is a key embryonic tissue region of the early gastrula stage embryo and that houses the Spemann-Mangold organizer."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000866>	"agger limitans anterior of ilium"^^<http://www.w3.org/2001/XMLSchema#string>	"Shelf-like expansion of the ilial corpus that forms the anterior border of the acetabulum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005200>	"RoL2c"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000573>	"internal cellular layer"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005088>	"posterior mesenteric artery"^^<http://www.w3.org/2001/XMLSchema#string>	"Unpaired artery departing from dorsal aorta that typically supplies the large intestine"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000440>	"superior raphe nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200055>	"homocercal tail"@en	"Type of tail fin in which the vertebrae generally turn upward at the hind end of the column, but which is externally symmetrical. The fin rays of the caudal are supported by hypaxial elements"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007011>	"vagal root"^^<http://www.w3.org/2001/XMLSchema#string>	"Part of cranial nerve X."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002263>	"epineural 1"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010507>	"precaval vein"^^<http://www.w3.org/2001/XMLSchema#string>	"Either of a pair of veins which enter on either side of the sinus venosus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005230>	"obsolete CoBL"^^<http://www.w3.org/2001/XMLSchema#string>	"A bifurcate interneuron where the axon projects ventrally, crossing the spinal cord ventral to the Mauthner axons before bifurcating and extending dorsally."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/uberon/phenoscape-anatomy#IUPAC_NAME>	"IUPAC NAME"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005316>	"fin fold pectoral fin bud"^^<http://www.w3.org/2001/XMLSchema#string>	"Fin fold of the pectoral fin bud, resulting from mesenchyme migration into the apical fold."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001160>	"dorsal scute"^^<http://www.w3.org/2001/XMLSchema#string>	"Scute that is a bony plate that forms in dorsal midline of body margin between the skull and dorsal fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010552>	"obsolete gastrula cell"^^<http://www.w3.org/2001/XMLSchema#string>	"A cell of the embryo in the early stage following the blastula, characterized by morphogenetic cell movements, cell differentiation, and the formation of the three germ layers."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000661>	"crista vomeri"^^<http://www.w3.org/2001/XMLSchema#string>	"Ridge on the dorsal surface of the vomer that runs from the anterior to the postchoanal processes of the vomer; it takes part in the fixation of the bone to the lateral margin of the solum nasi."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005295>	"axial blood vessel"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002108>	"buccal papilla"^^<http://www.w3.org/2001/XMLSchema#string>	"Papilla that is part of the mouth."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200022>	"extracleithrum"@en	"Narrow bone that lies ventral to the level of insertion fo the pectoral fin and is sutured to the posterior edges of both the clavicle and cleithrum. Based on Forey 1998."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000656>	"processus posterodorsalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterior process of the lamella alaris."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005219>	"choroid plexus vascular circuit"^^<http://www.w3.org/2001/XMLSchema#string>	"Cranial vasculature where the posterior cerebral veins and the trans-choroid plexus branch form a circuit around the 4th ventricle choroid plexus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200036>	"internal trochanter"@en	"A boney projection on the internal diaphysis of the femur anterior or medial to the intertrochanteric fossa, below the femoral head. Muscle attachment site for ventral muscle mass notably the puboischiofemoralis externus. Modified from Romer 1956"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200029>	"adductor crest"@en	"A bony crest on venteral side of femur that is the attachment site for the adductor muscles. [AD]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010186>	"outer metatarsal tubercle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005032>	"optic vein"^^<http://www.w3.org/2001/XMLSchema#string>	"Vein that connects to the hyaloid vein that drains the eye. External to eye. Isogai et al. 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010593>	"obsolete erythrophore"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001733>	"mesethmoid ventral diverging lamella"^^<http://www.w3.org/2001/XMLSchema#string>	"Bony projection that is the posterolaterally oriented projection on the ventral region of the mesethmoid. Mesethmoid ventral diverging lamellae are paired and posteriorly contact the lateral ethmoid bones."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200005>	"postbranchial lamina"@en	"Medial facing projection or surface on the anterior ( cranial) region of the cleithrum that is often textured or denticled. This process has two primary functions: 1) its shape enhances the vertical strength of the cleithrum and 2) it forms the edge of the gill chamber and helps to direct water after it has passed over the gills (modified from Clack 2012)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000172>	"lepidotrichium"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is rod-like, formed and usually contained in a fin membrane, and jointed to or adjacent to distal radials. Lepidotrichia are formed from paired hemitrichia surrounding actinotrichia. There are usually two more lepidotrichia than distal radials."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001314>	"posterior lateral line ganglion"^^<http://www.w3.org/2001/XMLSchema#string>	"The posterior lateral line ganglion develops from a cranial ectodermal placode and contains sensory neurons that innervate the posterior lateral line system."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000139>	"immature otolith"^^<http://www.w3.org/2001/XMLSchema#string>	"Brightly refractile stone-like organ within the otic vesicle and positioned over a sensory macula; two form in each vesicle during the late segmentation period. Kimmel et al, 1995. (Also see Anatomical Atlas entry for otolith by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001611>	"quadrate posterodorsal process"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is the posterior extension of the quadrate and located dorsal to the quadrate ventral process."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000630>	"caudal parvocellular preoptic nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005273>	"intestinal mucosal muscle"^^<http://www.w3.org/2001/XMLSchema#string>	"A thin layer of smooth muscle immediately beneath the base of the villi which permits the intestinal mucosa to dynamically move and fold."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000972>	"head external integument structures"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal, epidermal, glandular and pigment structures of the external head integument."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000906>	"sulcus pro musculo extensori cruris brevis"^^<http://www.w3.org/2001/XMLSchema#string>	"Small canal on the proximal head of to the tibiofibula, lateral to the apophysis distalis, for the insertion of the cruris brevis muscle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000736>	"obsolete deltopectoral crest"^^<http://www.w3.org/2001/XMLSchema#string>	"Ridge on the ventral aspect of the humeral shaft. It serves for the attachment of the mm pectoralis and shoulder musculature used primarily for limb adduction."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010709>	"levator mandibulae lateralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Responsible for the closing of the jaw."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010599>	"stratum spongiosum"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002258>	"trituration tooth"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001584>	"caudal procurrent ray"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal fin lepidotrichium that form part of the anterior dorsal and ventral series of lepidotrichia of the caudal fin that may be associated with a neural spine or an epural or an uroneural (dorsal series) and with a haemal spine of a preural vertebra (ventral series). Caudal procurrent rays are shorter than the caudal principal rays. A caudal procurrent ray is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005135>	"primary dental epithelium"^^<http://www.w3.org/2001/XMLSchema#string>	"Epithelium that surrounds a primary tooth. This epithelium is committed to formation of replacement teeth."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001049>	"slow muscle cell somite 16"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001714>	"caudal principal ray 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 1."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002207>	"medial motor nucleus of vagal nerve"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001076>	"intestinal bulb"^^<http://www.w3.org/2001/XMLSchema#string>	"This anteriormost portion of the intestine has the most digestive enzymes and the greatest epithelial surface area. Wallace et al, 2005."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200024>	"obsolete suprascapular fossa"@en	"Fossa located on the medial surface of the scapula above the glenoid"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000703>	"ventral motor nucleus trigeminal nerve"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000118>	"crista supraorbitalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Short and blunt process that extends posteriorly from the posteromedial margin of the postnasal wall, on the anterodorsal corner of the orbit above the medial orbitonasal foramen."^^<http://www.w3.org/2001/XMLSchema#string>
